,smiles,against_depression
341423,CCOC(=O)N1CCN(CC1)C(=O)C(=O)c1c[n](CC(=O)N2CCCCCC2)c2ccccc21,False
382611,CN1CC(c2cccc[n]2)C2(SC(=S)N(Cc3ccccc3)C2=O)C21C(=O)Nc1ccccc21,False
410554,O=C(COc1ccccc1)Nc1ccccc1C(F)(F)F,False
632365,O=C(Cc1ccc[s]1)NC1CN(CCC1)CCc1ccccc1,False
621925,COc1cc(ccc1)NC(=O)CCC1CCN(CC1)C(=O)c1c[s][n][n]1,False
402664,N#Cc1ccccc1NC(=O)COC(=O)c1cc2OCCOc2cc1,False
243475,OC1CN(Cc2ccccc2CS(=O)(=O)c2ccccc2)CCC1CO,False
325260,COCCNC(=O)C(=O)NCC1OCCCN1S(=O)(=O)c1ccc[s]1,False
971563,COc1ccc(C=C2CCCC(CCC)C2=NOC(=O)NCC)cc1,False
423718,COc1ccc(CNC(=O)C2CN(CCC2)S(=O)(=O)c2c[n]c[nH]2)cc1,False
226401,COCCNC(=O)C1CC(=NO1)c1ccc(cc1)C(F)(F)F,False
533862,C=CCN=Cc1c(O)[nH]c2ccccc12,False
770893,CC(C)Oc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1N1CCOCC1,False
560704,COc1cccc2cc(CNC(C)c3cc(F)c(F)cc3)oc21,False
226972,CN(Cc1c(F)cccc1Cl)C(=O)c1ccc(COc2ccccc2)cc1,False
678270,O=C1c2c(c(c3cc4ccccc4c[n]32)C(=O)OCc2ccccc2)C(=O)c2ccccc12,False
511600,Cc1cc(COC(=O)CCC(=O)N(CCCCC)C2=C(N)N(CCCC)C(=O)NC2=O)c(C)cc1,False
80154,Cc1ccc(cc1)C1C=C(Cc2ccc(F)cc2)C(=O)NN=1,False
57617,C1CC[n]2[n]c(c(-c3cc4[n]c[n](CCCOC5CCCCO5)c4cc3)c21)-c1cccc[n]1,False
624423,O=C(CCCN1CCCCC1=O)N1CC(Cc2ccccc2)OCC1,False
881504,[O-][N+](=O)c1cc(ccc1)N1C(=O)C2CCCCC2C1=O,False
45346,Cc1cc(OCC(=O)N2CCOCC2)c(C)cc1,False
658692,Cc1cc(NC(=O)C2=CN(CCCOC)C=C3C2=NN(c2ccccc2)C3=O)[n]cc1,False
326031,C=CCN1C(=Nc2c([nH]c3ccccc32)C1=O)SCC(=O)NCC1CCCO1,False
524840,CC1(NC(=O)N(CC(=O)C23CC4CC(C2)CC(C3)C4)C1=O)c1ccc(cc1)C#N,False
622593,COc1cc(ccc1)-c1ccc(cc1)NC(=O)C1CN(CCC1)C1CCSCC1,False
240954,Fc1ccccc1CN(CC1COCC1)CCC[n]1cc[n]c1,False
614270,Cc1cccc(NC(=O)c2ccccc2NC(=O)C=Cc2ccco2)c1C,False
256693,OC(=O)CCC(=O)Nc1ccccc1-c1ccccc1,False
799098,COc1ccc(cc1[N+]([O-])=O)NC(=O)c1cc2ccccc2o1,False
749437,CCOc1ccc(cc1)-c1[n]c(CNCCOc2ccccc2)co1,False
488767,Oc1ccccc1N1CCN(CCS(=O)(=O)c2cc(Cl)ccc2Cl)CC1,False
145923,COc1cc(O)c(cc1)-c1cc(C2CNCCC2)c(C#N)c(N)[n]1,False
3832,CC1(C)C(O)CCC23CC42CCC2(C)C(CCC2(C)C4CCC13)C(C)CCC=C(C)C,False
364477,CCC(C)c1ccccc1OCC[n]1c[n]cc1,False
154851,COC(=O)c1c(N)[n](c2[n]c3ccccc3[n]c21)-c1ccc(cc1)OC,False
714121,C=C(Br)C[n]1c([n]c2ccccc12)SCC=C,False
946859,C[n]1cccc1CN(C1CC1)C(=O)CN(CC=C)C(=O)Nc1ccc(cc1OC)OC,False
115996,CC(=O)Nc1cc(ccc1)C(=O)Nc1cc(ccc1)-c1ccc(cc1)-c1[nH]c2cccc(C)c2[n]1,False
462699,Cc1ccccc1NC(=O)C[n]1[n][n]c([n]1)-c1ccc(CN2CCC(C)CC2)cc1,False
502893,CC(=O)c1cc(ccc1)NC(=O)C(C)OC(=O)c1cc(ccc1)-[n]1c[n][n][n]1,False
